text,stars,date,useful
"Hank's definitely stays on my list of places that wow me. Great atmosphere from the bar area with live music, to the great booth in the dining room with all the hustle and bustle of the staff creating that fine dining experience.  We felt very comfortable and well taken care of. Even had the manager share a bottle of wine with us! A memorable evening.",5,2018-05-08 17:57:59,0
"Best Wonton soup ever!!! Delicious food and great service. We had Chicken Satay, Roti C., Wonton soup, and one of the fried noodle and shrimp dishes. Definitely will be back!",5,2015-11-06 00:02:50,0
"The Venetian is a beautiful hotel! So many cool and fun things to see or do! I got a suite and the room was huge! The only reason for the 4 is because the room service food was not too great and there were some items left from the previous guests in the room, which tells me that room service does not do a thorough job.",4,2018-09-02 17:08:56,1
I booked a session and decided to also use my coupon for free Easter collage. The girl told me it would take 45 min to print. Showed up 45min later and I guess they were having issues formatting it to print out correctly. Hour and a half total spent waiting and the guy kept saying if you wait I'll give a free print. I had already waited hour and a half along with session time and a five month old wasn't going to deal with it much longer. I don't travel to chandler often and live 30min from this location. I told them they needed to mail it to me and I left furious. Never again!  Update: The area manager did contact me and had my missing photos mailed and also had one of them framed for me.,1,2017-04-07 21:53:24,0
"To be honest, I was a bit disappointed. Had the original philly, but it was so bland, I even needed to add a bit of salt to bring out the flavor of the red sauce. Note: the sauce is not at all spicy. Ill say, they ensure to keep the food warm even for pick up, so thats nice, the cheese was still hot when I had it at home. Also the people are really polite and nice. But not a place ill be trying anytime soon.",3,2016-11-09 23:35:25,0
"Great wings , and the breakfast is pretty good also .the Cook does a great job on the food . I don't drink so I can't say anything about that but over all a good neighborhood place .",4,2015-01-03 23:45:34,0
"This was a fun experience.. although sitting in the dark gets old pretty quickly.  I expected that the food was going to be amazing but it was just ok, nothing fabulous.   For the price we paid I expected higher end cuisine. They say you eat with your eyes and I now wonder if not having the visual of the food was part of the food tasting a bit bland for me!?! It's an interesting experience to eat in complete darkness wondering what the room looks like or what your food looks like. At some point most people end up eating with their hands. (You can't see where or what's on your plate).",3,2015-12-20 20:16:16,0
"First time but not our last!! Never knew it was there and authentic,friendly staff..amazing food!!",5,2016-06-22 20:05:43,0
"Service was amazing, Christina was extremely tentative and took care of our whole group. Asked about splitting checks from the beginning which for a large group is very convenient!",5,2018-08-04 20:22:15,0
Perfect place to relax after our Red Rock adventures!!  Great drinks and great food.  Definitely try the Philly Fries.  Sit in Sarah's section!  First time having her serve us.  Very friendly and attentive!!  Thanks!!,5,2014-02-24 00:35:58,1
((( LADIES BEWARE))) Don't ever take your machine to 35th Ave. sew and vac on Northern they broke my Elna machine while it was being repaired. I've spent over $10.000 at their store over the years and have been a long time customer .. Bill the owners son was so rude to me and did nothing to resolve my broken machine. I was disgusted when Bill the owners daughter wouldn't do Any thing to help me when the repair man broke my machine. It's terrible to bring a nice sewing machine in to be repaired and these people broke it while in their possession and they don't want to do a damm thing about it. It was like a big (screw you) to me. I won't buy another thing from these people for the way I was treated. Even the material is too over priced. I'm in the market for another machine but I won't go there ever again. My machine STILL NEEDS TO BE TAKEN CARE OF AND THEY STILL HAVE NOT RESOLVED THIS ISSUE. ITS STILL BROKEN AND IT HAPPENED WHILE REPAIRMAN WAS SERVICING MY MACHINE. I WISH I HAD NEVER TAKEN MY MACHINE TO 35TH AVE SEW AND VAC SHOP. WHY CANT PEOPLE OWN UP TO TAKE OWNERSHIP TO THEIR RESPONSIBILITY FOR THEIR OWN MISTAKES!!!! GO TO KINGS SEWING MACHINES MUCH BETTER SERVICE AND THEY DONT BREAK YOUR MACHINE!!!!!,1,2017-01-27 19:15:36,1
"Easily entering my top 3 restaurants in Charlotte after just one visit!  Pork Belly, unreal! Had an AMAZING prime NY Strip with bourbon butter jam, PHENOMENAL!",5,2016-03-07 00:20:06,0
"I had THE BEST VEGAN Gardein chicken plate with broccolini. I was blown away!!! The decor is cute! Nicely dimly lit, It was romantic and very chic. I recommend coming if you're a vegan looking for a good dinner!",5,2017-03-27 01:24:15,4
Mike and his crew did a very good job on our backyard waterfall. I waterfall is about 20 years old and had a lot of cracks and was leaking water. We also had part of a palm tree growing out of the stonework. He was very knowledgeable and experienced. Prompt to the minute! And we felt he did a very good job with his crew. He was on site most of the time for the job and  would highly recommend using again.,5,2017-01-27 20:47:14,0
"Don't go here. Especially not for a full hour table massage. I've never tried the chair massages so I can't speak to those, but the table massage was not a great experience. I'll spare the details, but I definitely don't recommend this place.",1,2018-06-08 22:25:48,0
"Okay, I know this is supposed to be the ""cheap"" restaurant in the Wynn, but we're still talking about $18 burgers for lunch, so cheap is relative.  We waited 35 minutes for our food, and of course they got our order wrong.  Did I mention that the place is like half full.  Good thing it wasn't busier, then we might wait an hour for the wrong order.  They of course add 18% for parties of 6 or more so great!  I get to way overpay for the wrong food.  I got lazy and didn't want to leave the resort.  Bad call there.",1,2016-11-21 21:28:02,0
Absolutely love this place! I've been here many times and it never fails to impress me  the bff burger is unreal and the tsoynamis and cupcakes are amazing!! Everything is pretty much the best,5,2017-10-02 02:28:34,0
"Pinball machines are slowly working their way out of society, so I'm glad a place like this exists. A wonderful and loving tribute to a great past time. Lots of rare, unique, and long forgotten tables that you can play for the 1st or 100th time. There's plenty of famous tables (LOTR, Addams Family, Ripley's) that have had color conversions too. All tables are well cared for and while there's always a handful of tables that are broken they seem to actually fix them. Ample parking and low table prices. $5 or $10 bucks will get you plenty of play time. It's not walkable from the strip, but a cab or Lyft wouldn't be too expensive as you're just to the east. Highly recommended if you have even a passing interest in Pinball.",5,2018-05-08 17:29:19,3
"Cannot praise this place enough!!  If there were 10 stars, I'd give them a 10 star rating.  I called them about some custom lighting I needed for my handicap van and they scheduled an appointment for me to come in and see Jay for advisement.  The service was impeccable, the pricing was reasonable, and they were honest.  I plan to go back for some other custom work and will be letting everyone I know what a great place this is to deal with.  It's a nice relief when you find a great business when there are so many questionable businesses these days.  Highly recommend!!",5,2016-02-11 22:39:02,11
Very fast to go service. The pad thai is made from bigger noodles than i'm used to but had a very good flavor,4,2016-01-30 02:40:15,0
"Great steak. Great service. Cool venue. Although it's died down a bit, this place is still always on my radar for good food.",5,2012-11-06 03:42:56,0
"What's to say! It's a grocery store with what ya need downtown. It's not hipster or shady..it's just a good, simple grocery store with a great mix of produce, organic and other baked goods. The prices are fair even though some things I know are cheaper elsewhere; for many of us it means not having to drive so its all good.",4,2011-05-27 11:30:52,0
"It's not a Hilton, but clean, comfortable and safe.  We choose to stay here simply because it was close to our client's office and because every other hotel doubled their rates due to spring training by baseball teams.  It looks much better on the inside than the outside, as at first we were a little concerned.  However the place has tight security and large balconies.  We stayed there for several days and found the motel to be exceptionally clean, the owners/operators were very friendly.  The rooms where comfortable, we had a balcony; no chairs to sit outside however - bring the ones out from the room.  Great water pressure and close to downtown where we could walk to restaurants and not have to pay for parking.  Older TV's but good selection of cable tv, microwave and small frig.  The internet is free and very high speed so that was an added bonus.  For the price range, you can't beat it.  I would stay there again as it was one of the best no-frills motels I've been in.  Two blocks away are the high priced hotels, so we were happy we could save a few bucks.",3,2011-03-20 00:14:24,2
Michael from Red Carpet VIP is amazing ! I reached out because I needed help planning my soon to be sister in law's bachelorette. It was a group of 10 girls so I was a little overwhelmed but Michael saved the day! Everything was super smooth and easy! We got good deals and had the best time ever! We booked hotel and a bachelorette package for a great price. I have saved contact info because I will for sure reach out again on next Vegas trip!!!,4,2018-04-27 20:25:26,0
These are sooo good!  I'm having Bulgogi dog cravings right now!  So tasty!  Want to go back and try the carne asada fries too!  See you soon!,5,2016-09-30 19:56:48,0
"It use to be that when I have my annual vacation to Vegas with either my girlfriends or husband, Koi was the place to go to get my sushi needs.   Ever since I went to Social House, I certainly changed my mind about going to Koi again!    My girl friend and I went to Social House last Saturday a little before 5, before the restaurant opened for dinner.  The host was very friendly and informed us that the restaurant was not opened for dinner yet.  My girl friend and I each had a a cocktail while we waited.  Wow! I loved their ""Socialite"" cocktail and my girlfriend was amazed by their ""lycheetini"".  Both drinks were incredible!! This definitely gave us a boost of confidence about the meal we were about to have.   When it was time for dinner we picked a bottle of sparkling sake called ""hana awaka""....it was sincerely the best sparkling sake we've ever had.  It was a little pricey (then again, what's not pricey in Vegas?) but it was definitely an amazing experience to try something new!   The food, oh the food was just so incredible.  My favorites were hamachi jalapeno, hamachi tartar, miso cod lettuce cups, and uni.  All of the dishes have nice portion since it's meant to be shared, which I thought was a great concept!  The food was just so fresh and nicely flavored we actually ordered some dishes again!  My girl friend and I were definitely in sushi heaven.    Everyone in the restaurant were extremely friendly and seemed genuinely happy to be working there.  The manager came to ask us twice to see if we were satisfied with the food and if we were having a good time.  My water never went below half empty as the water and busboy constantly refills it as soon as I drank some.  For someone who drinks a lot of water with my meal and so I'm constantly asking for more water, this is a huge plus for me.     The ambiance was amazing.  We enjoyed the trendy music but it was not too loud we couldn't hear our own conversation.   Overall, we had an incredible experience dining at social house.  It was such a fantastic meal my girl friend and I were still talking about it half an house after we walked out of the restaurant!  This is definitely one place we have to visit every time we go to Vegas!",5,2012-02-29 22:17:04,1
